WKT,Name,LongDescription,Category,SubCategory,Code,Address,Postcode,Chain,Borough
POINT (436138.084122184 516418.815638612),BP,Automotive & Transport Gas Station,Automotive & Transport,Gas Station,6,,DL2 1,BP,STOCKTON ON TEES
POINT (436151.010433831 516420.5871479),A66 Sadberge EB 4,Automotive & Transport Parking Only,Automotive & Transport,Parking Only,11,,DL2 1,,STOCKTON ON TEES
POINT (436167.066194089 516476.577248306),Tands Harker Horseboxes,"Government, Community & Religious Government Office","Government, Community & Religious",Government Office,111,,DL2 1,,STOCKTON ON TEES
POINT (436645.959937227 516261.61679359),A66 Sadberge WB 5,Automotive & Transport Parking Only,Automotive & Transport,Parking Only,11,Darlington Road,DL2 1,,STOCKTON ON TEES
POINT (436854.947260301 518187.223588753),Ray Wade Events,Food & Drink Catering and Food Services,Food & Drink,Catering and Food Services,87,,DL2 1SX,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Riano's Village,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),The Village Cafe,Food & Drink Restaurant,Food & Drink,Restaurant,100,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Track N Trail Cycles,Automotive & Transport Bicycle and Bicycle Accessories Shop,Automotive & Transport,Bicycle and Bicycle Accessories Shop,3,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),GPS Leaflet Distribution,"Financial & Professional Services Advertising-Marketing, PR and Market Research",Financial & Professional Services,"Advertising-Marketing, PR and Market Research",67,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437174.652672461 523557.977921078),Green Thumb,"Construction, Manufacturing & Trades Landscaping Services","Construction, Manufacturing & Trades",Landscaping Services,22,Ironmasters Way,TS21 1FD,,STOCKTON ON TEES
POINT (437203.662656297 523406.871076347),The Royal,Food & Drink Bars and Pubs,Food & Drink,Bars and Pubs,84,West Street,TS21 1JU,,STOCKTON ON TEES
POINT (437205.173173646 523451.396179773),Learn with Me,Education & Training Education Facility,Education & Training,Education Facility,31,11 West Street,TS21 1JU,,STOCKTON ON TEES
POINT (437218.438626841 523417.007032321),Heffe Mojo,Retail & Consumer Goods Convenience Store,Retail & Consumer Goods,Convenience Store,150,,TS21 1JU,,STOCKTON ON TEES
POINT (437241.250383533 523550.731651169),Goldswains Transport,Automotive & Transport Rental Car Agency,Automotive & Transport,Rental Car Agency,13,,TS21 1LE,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Stillington Post Office & Shop,Retail & Consumer Goods Consumer Goods,Retail & Consumer Goods,Consumer Goods,149,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Park Lane Surgery,Health & Wellness Family-General Practice Physicians,Health & Wellness,Family-General Practice Physicians,120,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Post Office,"Government, Community & Religious Post Office","Government, Community & Religious",Post Office,116,Redmarshall Street,TS21 1JS,Post Office,STOCKTON ON TEES
POINT (437253.367111047 523411.728163266),Stillington Post Office & Park Shop,Retail & Consumer Goods Specialty Store,Retail & Consumer Goods,Specialty Store,176,Redmarshall Street,TS21 1JS,,STOCKTON ON TEES
POINT (437342.953343855 523540.21271147),Oakmill Commercial Development Limited,"Construction, Manufacturing & Trades Locksmiths and Security Systems Services","Construction, Manufacturing & Trades",Locksmiths and Security Systems Services,23,Ironmasters Way,TS21 1,,STOCKTON ON TEES
POINT (437430.736777085 523525.575594835),Catering Creations Limited,Food & Drink Restaurant,Food & Drink,Restaurant,100,Ironmasters Way,TS21 1LB,,STOCKTON ON TEES
POINT (437465.273092572 523253.218223786),Edd & Dave Pannett The Workshop,Automotive & Transport Car Repair,Automotive & Transport,Car Repair,4,Mount Pleasant,TS21 1JL,,STOCKTON ON TEES
POINT (437527.789509687 523365.793327013),Carol's,Health & Wellness Hair Salon,Health & Wellness,Hair Salon,123,Park Crescent,TS21 1JF,,STOCKTON ON TEES
POINT (437527.789509687 523365.793327013),Stillington Chippy,Food & Drink Take Out and Delivery Only,Food & Drink,Take Out and Delivery Only,103,Park Crescent,TS21 1JF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),Kumo Detailing,Automotive & Transport Car Wash,Automotive & Transport,Car Wash,5,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),50 Cal Embroidery,Retail & Consumer Goods Arts and Craft Supplies,Retail & Consumer Goods,Arts and Craft Supplies,145,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437540.665238783 523575.443504163),Azul Door Services,"Construction, Manufacturing & Trades Construction","Construction, Manufacturing & Trades",Construction,18,Stillington Industrial Estate,TS21 1AF,,STOCKTON ON TEES
POINT (437587.019604083 523547.559753175),Stillington Youth & Community Centre,"Entertainment, Arts & Leisure Community Center","Entertainment, Arts & Leisure",Community Center,40,Lowson Street,TS21 1JE,,STOCKTON ON TEES
POINT (437675.804128549 523435.229882012),IQ Driving,Education & Training Education Facility,Education & Training,Education Facility,31,9 Weare Grove,TS21 1NX,,STOCKTON ON TEES
POINT (437754.54667494 523592.343846788),Stockton Country Parish,"Government, Community & Religious Church","Government, Community & Religious",Church,107,Morrison Street,TS21 1JD,,STOCKTON ON TEES
POINT (437754.54667494 523592.343846788),William Cassidi Church of England Primary School,Education & Training School,Education & Training,School,33,Morrison Street,TS21 1JD,,STOCKTON ON TEES
